Customer heading,Latitude,Longitude,Town,Province,Region,Current Seller id,Institution,Titularity
171942,41.539875,2.43841,MATARO,Barcelona,Cataluña,201.0,No,Catholic
171943,37.82846,-0.77756,SAN PEDRO DEL PINATAR,Murcia,Murcia,204.0,Yes,Public
171944,41.28991,1.975724,CASTELLDEFELS,Barcelona,Cataluña,213.0,Yes,Public
171945,35.888331,-5.338745,CEUTA,Ceuta,Ceuta,195.0,Yes,Public
171947,28.073949,-15.520105,TEROR,Las Palmas,Islas Canarias,153.0,Yes,Public
171949,28.988417,-13.636593,SAN BARTOLOME,Las Palmas,Islas Canarias,163.0,Yes,Public
171950,28.118647,-17.306858,VALLE GRAN REY,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171951,28.10011,-15.474897,ALMATRICHE,Las Palmas,Islas Canarias,103.0,Yes,Private
171955,36.746503,-4.492431,MALAGA,Málaga,Andalucía,206.0,Yes,Private
171957,41.405473,2.18715,BARCELONA,Barcelona,Cataluña,168.0,Yes,Public
171958,28.464164,-16.257399,SANTA CRUZ DE TENERIFE,Sta.Cruz Tenerife,Islas Canarias,174.0,Yes,Private
171960,38.67875,-6.409941,ALMENDRALEJO,Badajoz,Extremadura,110.0,Yes,Public
171961,37.377721,-6.00478,SEVILLA,Sevilla,Andalucía,152.0,Yes,Public
171962,39.75457,-3.856703,ALMONACID DE TOLEDO,Toledo,Castilla la Mancha,202.0,Yes,Public
171963,39.909683,-0.707783,BEJIS,Castellón,Comunidad Valenciana,203.0,Yes,Public
171965,38.2756,-1.469632,CIEZA,Murcia,Murcia,173.0,Yes,Public
171967,37.403358,-1.750949,PULPI,Almería,Andalucía,191.0,Yes,Private
171969,38.047791,-1.661506,BULLAS,Murcia,Murcia,173.0,Yes,Public
171971,28.220743,-16.761229,GUIA DE ISORA,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171975,37.425762,-5.96476,SEVILLA,Sevilla,Andalucía,144.0,Yes,Public
171978,36.835244,-4.191261,BENAMARGOSA,Málaga,Andalucía,175.0,Yes,Public
171981,28.763353,-17.791296,SAN ANDRES Y SAUCES,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171983,28.140654,-15.633986,SANTA MARIA DE GUIA,Las Palmas,Islas Canarias,163.0,Yes,Public
171985,37.111644,-6.017942,PINZÓN,Sevilla,Andalucía,118.0,Yes,Public
171986,39.429107,-3.349188,VILLAFRANCA DE LOS CABALLEROS,Toledo,Castilla la Mancha,113.0,Yes,Public
171989,27.886266,-15.721438,MOGAN,Las Palmas,Islas Canarias,153.0,Yes,Public
171996,28.091767,-17.287563,VALLEHERMOSO,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171997,36.552868,-4.637284,MIJAS,Málaga,Andalucía,119.0,Yes,Private
171998,37.326481,-4.361845,RUTE,Córdoba,Andalucía,198.0,Yes,Public
172000,35.883862,-5.337054,CEUTA,Ceuta,Ceuta,195.0,Yes,Public
172001,38.091085,-0.954339,ORIHUELA,Alicante,Comunidad Valenciana,162.0,Yes,Public
172003,38.098544,-1.280946,LOS TORRAOS,Murcia,Murcia,114.0,Yes,Public
172004,38.112511,-1.310873,ARCHENA,Murcia,Murcia,114.0,Yes,Public
